Set,Runtime,Sites Overlap,Relative Entropy
0,681,1,0
1,613,1,0
2,287,1,0
3,280,1,0.04397154729944995
4,282,0.9,0
5,290,1,0
6,265,1,0
7,252,1,0
8,245,1,0
9,239,1,0
10,280,1,0
11,329,1,0
12,383,1,0
13,347,1,0
14,307,1,0
15,331,1,0
16,311,1,0
17,328,1,0
18,296,1,0
19,304,1,0
20,309,1,0.07548875021634681
21,301,1,0
22,340,1,0
23,327,1,0
24,256,0.9,0
25,326,1,0
26,268,1,0
27,247,0.9,0
28,244,1,0
29,267,0.8,0.0415037499278844
30,92,0,0.46096404744367614
31,152,0.7,0.0415037499278844
32,138,0.9,0.05097750043269357
33,121,0.7,0.0712287620450551
34,121,0,0
35,127,0.7,0
36,123,0,0.0712287620450551
37,139,0.7,0.07548875021634677
38,126,0.8,250.44544553318963
39,133,0.8,0
40,230,1,0
41,195,1,0.1
42,207,0.9,0.04902249956730638
43,225,0.9,0
44,210,0.8,0.04902249956730638
45,230,1,0
46,170,1,0
47,212,0.9,0
48,238,1,0.08300749985576879
49,237,1,0.07548875021634681
50,307,1,0
51,327,1,0
52,320,0.8,0
53,323,1,0
54,280,1,0
55,311,1,0
56,311,1,0
57,276,1,0
58,305,1,0
59,320,1,0
60,377,1,0
61,425,1,0.1081943562112613
62,399,0.95,0.060837988358435555
63,360,1,0
64,415,1,0.05097750043269357
65,374,1,0.04671751226140186
66,418,1,0.03724376175659269
67,390,1,0
68,346,1,0
69,338,1,0
